Stack,Input,Action
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM',CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: TERM' -> ε
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION',CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: EXPRESSION' -> ε
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR,CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA,DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS,CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: STATEMENTS -> ε
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS,CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: LOOPS -> ε
$ CKEY CKEY ELSE' CKEY IFELSES,CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: IFELSES -> ε
$ CKEY CKEY ELSE' CKEY,CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY ELSE',ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: ELSE' -> ELSE OKEY STATEMENTS LOOPS IFELSES CKEY
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS OKEY ELSE,ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS OKEY,OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS,PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: STATEMENTS -> PRINT OPAR EXPRESSION CPAR DOTCOMMA STATEMENTS
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION OPAR PRINT,PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION OPAR,OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION,IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: EXPRESSION -> TERM EXPRESSION'
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM,IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: TERM -> FACTOR TERM'
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' FACTOR,IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: FACTOR -> DVORID
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' DVORID,IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: DVORID -> IDENTIFIER
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' IDENTIFIER,IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM',CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: TERM' -> ε
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION',CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: EXPRESSION' -> ε
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR,CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA,DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS,CKEY CKEY CKEY $,
,,Apply rule: STATEMENTS -> ε
$ CKEY CKEY CKEY IFELSES LOOPS,CKEY CKEY CKEY $,
,,Apply rule: LOOPS -> ε
$ CKEY CKEY CKEY IFELSES,CKEY CKEY CKEY $,
,,Apply rule: IFELSES -> ε
$ CKEY CKEY CKEY,CKEY CKEY CKEY $,
$ CKEY CKEY,CKEY CKEY $,
$ CKEY,CKEY $,
$,$,
,,Accept: 
